user_id;subscription_id;subscription_type;subscription_price;payment_date;payment_number;payment_value
f2ebae42-6e1e-46e2-83aa-79586bc2ee3e;43052bac-efe5-4cb1-80f5-b49e908379bc;Yearly;139.92999999999998;2022-12-02;1;139.92999999999998
fcc3fc03-542f-4986-a3ad-60475ccd9cf4;4c041068-8552-41e0-991b-883ee80e8b02;Yearly;174.92999999999998;2022-01-09;1;174.92999999999998
fcc3fc03-542f-4986-a3ad-60475ccd9cf4;4c041068-8552-41e0-991b-883ee80e8b02;Yearly;174.92999999999998;2023-01-09;2;174.92999999999998
0a5f3695-f8c8-409b-86f5-e8bdd16a86a0;6df45263-6271-4ac6-98d8-191d191c4ae5;Yearly;174.92999999999998;2022-06-03;1;174.92999999999998
0a5f3695-f8c8-409b-86f5-e8bdd16a86a0;6df45263-6271-4ac6-98d8-191d191c4ae5;Yearly;174.92999999999998;2023-06-03;2;174.92999999999998
d3cba328-9afc-4200-a3d2-c5409a01a9b7;f737da79-0c91-4c42-a069-6a5aadcb7f30;Yearly;153.92999999999998;2022-05-18;1;153.92999999999998
d3cba328-9afc-4200-a3d2-c5409a01a9b7;f737da79-0c91-4c42-a069-6a5aadcb7f30;Yearly;153.92999999999998;2023-05-18;2;153.92999999999998
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2022-08-14;1;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2022-09-14;2;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2022-10-14;3;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2022-11-14;4;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2022-12-14;5;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-01-14;6;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-02-14;7;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-03-14;8;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-04-14;9;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-05-14;10;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-06-14;11;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-07-14;12;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-08-14;13;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-09-14;14;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-10-14;15;18.99
70c9ac5b-736f-4fa0-9152-8784aaae678e;12212215-3ac2-40c2-baf5-85c7d2130b13;Monthly;18.99;2023-11-14;16;18.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2021-12-28;1;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-01-28;2;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-02-28;3;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-03-28;4;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-04-28;5;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-05-28;6;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-06-28;7;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-07-28;8;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-08-28;9;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-09-28;10;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-10-28;11;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-11-28;12;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2022-12-28;13;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2023-01-28;14;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2023-02-28;15;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2023-03-28;16;24.99
5c46c27d-d2d0-413f-9522-3492fca382c3;838222e6-fcb9-4c70-9004-bb86a29135d2;Monthly;24.99;2023-04-28;17;24.99
e5df4b17-5cbf-458a-9907-658b599af97e;79d51d7b-742c-4a85-8521-b6d5ffca315d;Yearly;174.92999999999998;2022-12-02;1;174.92999999999998
46143ea7-547f-468c-9010-892b8fc73628;03e12e43-fe71-45ab-8e2d-3ace17e72132;Yearly;174.92999999999998;2022-08-24;1;174.92999999999998
46143ea7-547f-468c-9010-892b8fc73628;03e12e43-fe71-45ab-8e2d-3ace17e72132;Yearly;174.92999999999998;2023-08-24;2;174.92999999999998
33375fac-e588-4ecc-8aa8-d666d8d420e0;556c8634-0148-4bce-89a2-47ee0a7ea28b;Yearly;174.92999999999998;2022-04-30;1;174.92999999999998
